source,product,rating,title,review_text,reviewer,date
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Divyanshu Thakur,"Not much for my expertise, while I shoot video by the camera is glitch, not working properly....",Divyanshu Thakur,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,ASHOK TIWARI,It is very good invoice and camera overall it is very good phone,ASHOK TIWARI,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,Jagadeesh  P n,...Camera also not good some time system hang and slow working.,Jagadeesh  P n,
flipkart,"REDMI Note 14 SE 5G (Crimson Art, 128 GB) (6 GB RAM)",,prateek jaiswal,"...display quality was quite good, camera is good but not as much as it mention sony lens....",prateek jaiswal,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Flipkart Customer,Battery and performance is bad only camera is good �,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Apurba  Maity,Very good camera quality,Apurba  Maity,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Pabitra Kumar Sircar,".... This phone is strongly not for gamers or photography enthusiasts, low light photo is not good, selfie camera 20 mp which I think pure B...",Pabitra Kumar Sircar,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Tulsi Ram  Ahirwar,Nice mobile and camera quality is good,Tulsi Ram  Ahirwar,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,"... Camera, battery and the whole system.",I recommend to my friend and he also order...,BASHIR MOHAMED,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Camera- decent,Battery- easily pass 1 day with single charge...,Flipkart Customer,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Nice Design. Excellent.,Camera quality is good.,Neeraj Kumar,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Om Ramesh Desai,Camera is normal - good pictures in daylight but bad in low light....,Om Ramesh Desai,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Amit Sharma,I bought this phone for its camera features only but disappointed as the camera performance was not as ex,Amit Sharma,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,"...smooth, performance good as per 6gb ram.",Camera quality is also good with resolution.,Anurag Mahajan,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,Rohit Pathak,See the camera quality of this phone,Rohit Pathak,
flipkart,"REDMI Note 14 SE 5G (Titan Black, 128 GB) (6 GB RAM)",,"...range, very light weight, good performance.",but charger and protective case is not included...,Vidhayak Jee,
